pair,regime,regime_label,start,end,days,mean_basis_rate,min_basis_rate,max_basis_rate
IH+50ETF,0,neutral,2022-07-18,2022-08-03,13,0.012515883698867379,-0.01960803698837902,0.05084438302334697
IH+50ETF,1,premium,2022-08-04,2022-08-08,3,0.03519840205574112,0.018763389540753322,0.052074431103515145
IH+50ETF,0,neutral,2022-08-09,2022-08-17,7,-0.021857411192903155,-0.12095461153618606,0.04732541967295571
IH+50ETF,-1,discount,2022-08-18,2022-08-18,1,-0.06583694766671694,-0.06583694766671694,-0.06583694766671694
IH+50ETF,0,neutral,2022-08-19,2022-08-22,2,0.03561606496068015,0.018793510270762974,0.05243861965059733
IH+50ETF,1,premium,2022-08-23,2022-09-09,14,0.05888013354998221,0.00798582094889946,0.16293944864610357
IH+50ETF,0,neutral,2022-09-13,2022-09-13,1,-0.054462461008473434,-0.054462461008473434,-0.054462461008473434
IH+50ETF,1,premium,2022-09-14,2022-10-14,18,0.06942529770527778,0.0040788282348604675,0.37353834196040797
IH+50ETF,0,neutral,2022-10-17,2022-10-18,2,-0.14337288563258055,-0.15361083285045637,-0.13313493841470472
IH+50ETF,-1,discount,2022-10-19,2022-10-19,1,-0.299856056111848,-0.299856056111848,-0.299856056111848
IH+50ETF,0,neutral,2022-10-20,2022-10-26,5,0.07330362336113858,0.00886907398917047,0.3057231608876486
IH+50ETF,1,premium,2022-10-27,2022-11-02,5,0.03749035076949088,0.013169399003370079,0.08549233623895032
IH+50ETF,0,neutral,2022-11-03,2022-11-07,3,0.024161380107963485,-0.004480985946078486,0.06595947476504119
IH+50ETF,1,premium,2022-11-08,2022-11-08,1,0.051990602974132584,0.051990602974132584,0.051990602974132584
IH+50ETF,0,neutral,2022-11-09,2022-11-16,6,0.10133978806527004,-0.009134957483403892,0.4034760247167667
IH+50ETF,1,premium,2022-11-17,2023-01-18,44,0.08769367270816757,0.0045314812848773894,0.5740476895645061
IH+50ETF,0,neutral,2023-01-19,2023-01-19,1,-0.2809070181045781,-0.2809070181045781,-0.2809070181045781
IH+50ETF,1,premium,2023-01-20,2023-02-15,14,0.07956054765747424,0.020748956997294322,0.17148939392562304
IH+50ETF,0,neutral,2023-02-16,2023-02-16,1,-0.10312502160876288,-0.10312502160876288,-0.10312502160876288
IH+50ETF,1,premium,2023-02-17,2023-03-14,18,0.07349176107791658,0.028247950439335076,0.16324221240833975
IH+50ETF,0,neutral,2023-03-15,2023-03-15,1,-0.03738069012716455,-0.03738069012716455,-0.03738069012716455
IH+50ETF,1,premium,2023-03-16,2023-04-19,24,0.08014545177430903,0.020019105273240988,0.2777742210990666
IH+50ETF,0,neutral,2023-04-20,2023-04-20,1,-0.35511548906287066,-0.35511548906287066,-0.35511548906287066
IH+50ETF,1,premium,2023-04-21,2023-05-18,17,0.07874563458609904,0.03315938107068486,0.2370314472387035
IH+50ETF,0,neutral,2023-05-19,2023-05-22,2,-0.03480681625774543,-0.04597520343256023,-0.023638429082930623
IH+50ETF,-1,discount,2023-05-23,2023-06-12,15,-0.09942582505522214,-0.2935048298335959,-0.05250104083714842
IH+50ETF,0,neutral,2023-06-13,2023-06-19,5,-0.026467428917406277,-0.12586401536247924,0.20956832176372006
IH+50ETF,-1,discount,2023-06-20,2023-07-18,19,-0.14026256511654908,-0.2584808711549969,-0.044228150960786417
IH+50ETF,0,neutral,2023-07-19,2023-07-19,1,0.11453033922683849,0.11453033922683849,0.11453033922683849
IH+50ETF,-1,discount,2023-07-20,2023-07-20,1,-0.3234024771784113,-0.3234024771784113,-0.3234024771784113
IH+50ETF,0,neutral,2023-07-21,2023-07-24,2,0.08097241173701412,0.07497172289244695,0.0869731005815813
IH+50ETF,1,premium,2023-07-25,2023-12-04,89,0.09364912291536877,0.008247836504498882,0.3568265065878692
IH+50ETF,0,neutral,2023-12-05,2023-12-06,2,-0.07208387338271438,-0.11443090735592357,-0.02973683940950521
IH+50ETF,-1,discount,2023-12-07,2023-12-08,2,-0.018893304892400885,-0.020389774961855768,-0.017396834822946003
IH+50ETF,0,neutral,2023-12-11,2023-12-12,2,0.06332480760521583,0.024472028108449877,0.10217758710198178
IH+50ETF,-1,discount,2023-12-13,2023-12-13,1,-0.04662449549283597,-0.04662449549283597,-0.04662449549283597
IH+50ETF,0,neutral,2023-12-14,2023-12-15,2,0.09410916178203921,0.0453369007234609,0.1428814228406175
IH+50ETF,1,premium,2023-12-18,2024-01-05,14,0.0692213439163994,0.03732519557825909,0.10068511722540698
IH+50ETF,0,neutral,2024-01-08,2024-01-08,1,-0.01085174897676821,-0.01085174897676821,-0.01085174897676821
IH+50ETF,1,premium,2024-01-09,2024-01-17,7,0.0863816533094662,0.037603477201538095,0.16532556238914323
IH+50ETF,0,neutral,2024-01-18,2024-01-19,2,-1.0116594673156414,-1.9973785920391376,-0.025940342592144984
IH+50ETF,-1,discount,2024-01-22,2024-01-23,2,-0.08990526672462552,-0.1635933469640268,-0.016217186485224244
IH+50ETF,0,neutral,2024-01-24,2024-01-25,2,0.03143526170684778,0.014777939738182946,0.04809258367551262
IH+50ETF,1,premium,2024-01-26,2024-02-01,5,0.03535596249183426,0.007424612557144994,0.0472976474515629
IH+50ETF,0,neutral,2024-02-02,2024-02-05,2,-0.11929775112182303,-0.190690819362373,-0.04790468288127307
